CVE_CLPV,CVE_DOC,CVE_VEND,FECHA_ENT,CAN_TOT
      2465,F29414,1.0,2019-09-03 00:00:00,3980.0
      3926,F29415,1.0,2019-09-03 00:00:00,1550.0000000000002
      3926,F29416,1.0,2019-09-03 00:00:00,1550.0
      3926,F29417,1.0,2019-09-03 00:00:00,1550.0
      6813,F29418,2.0,2019-09-03 00:00:00,2435.44
      2465,F29419,1.0,2019-09-04 00:00:00,3979.9979999999996
      6828,F29420,2.0,2019-09-04 00:00:00,402.59
      6828,F29421,2.0,2019-09-04 00:00:00,402.59
      5926,F29422,2.0,2019-09-02 00:00:00,1606.74
      5926,F29423,2.0,2019-09-02 00:00:00,1144.4299999999998
      5926,F29424,2.0,2019-09-03 00:00:00,462.31
      5926,F29425,2.0,2019-09-02 00:00:00,1144.4299999999998
      6829,F29426,2.0,2019-09-04 00:00:00,157.75799999999998
      6829,F29427,2.0,2019-09-04 00:00:00,157.75799999999998
      3686,F29428,2.0,2019-09-04 00:00:00,1724.137
      6830,F29429,2.0,2019-09-04 00:00:00,1415.5172
      2465,F29430,1.0,2019-09-05 00:00:00,1989.9989999999998
      5953,F29431,2.0,2019-09-05 00:00:00,258.65999999999997
      1965,F29432,2.0,2019-09-05 00:00:00,976.5
      6016,F29433,2.0,2019-09-05 00:00:00,280.0
      5928,F29434,2.0,2019-09-06 00:00:00,224.637
        43,F29435,1.0,2019-09-06 00:00:00,1196.6
      1965,F29436,2.0,2019-09-06 00:00:00,976.5
      5926,F29437,2.0,2019-09-06 00:00:00,224.64
      5928,F29438,2.0,2019-09-06 00:00:00,1282.327
      4776,F29439,2.0,2019-09-06 00:00:00,1964.0
      4605,F29440,2.0,2019-09-09 00:00:00,229.66
      5926,F29441,2.0,2019-09-09 00:00:00,1602.59
       357,F29442,2.0,2019-09-09 00:00:00,9586.0
      6832,F29443,2.0,2019-09-09 00:00:00,105.00000000000001
      2765,F29444,3.0,2019-09-09 00:00:00,1444.3999999999999
      6278,F29445,2.0,2019-09-09 00:00:00,258.62
      3686,F29446,2.0,2019-09-09 00:00:00,1724.137
      5926,F29447,2.0,2019-09-10 00:00:00,852.2669999999999
      6833,F29448,2.0,2019-09-10 00:00:00,517.241
      5926,F29449,2.0,2019-09-10 00:00:00,258.62
      6813,F29450,2.0,2019-09-10 00:00:00,2435.4400000000005
      4029,F29451,2.0,2019-09-10 00:00:00,760.57
      6834,F29452,2.0,2019-09-10 00:00:00,919.4560000000001
      5926,F29453,2.0,2019-09-04 00:00:00,112.10000000000001
      5137,F29454,2.0,2019-09-10 00:00:00,1432.83
      6365,F29455,2.0,2019-09-10 00:00:00,366.49100000000004
       960,F29456,2.0,2019-09-10 00:00:00,1059.8700000000001
       960,F29457,2.0,2019-09-10 00:00:00,1059.8700000000001
       960,F29458,2.0,2019-09-10 00:00:00,1059.8700000000001
      6835,F29459,3.0,2019-09-10 00:00:00,3691.7000000000003
      4631,F29460,2.0,2019-09-10 00:00:00,8700.0
